id,product_name,reviews_count,Price_EGP,rating_type,avg_rating,category
1,Dice - Bundle Of (6) Boxers For Men & Boys,46.0,329.99,verified ratings,3.9,Fashion
2,Care & More Soft Cream With Glycerin - Strawbery - 75 ML,515.0,29.0,verified ratings,4.2,Health & Beauty
3,"NIVEA Antiperspirant Spray for Women, 48h Protection, Black & White Invisible Silky Smooth Shaving, 150ml",554.0,103.75,verified ratings,4.4,Health & Beauty
4,"NIVEA MEN MEN Antiperspirant Spray for Men, 48h Protection, Black & White Invisible Original, 150ml",1066.0,95.0,verified ratings,4.4,Health & Beauty
5,"NIVEA MEN Antiperspirant Spray for Men, 48h Protection, DEEP Black Carbon Antibacterial, Woody Scent, 150ml",1119.0,103.75,verified ratings,4.5,Health & Beauty
6,Skyline 32-22A - 32-inch HD LED TV - Limited,189.0,4249.0,verified ratings,3.7,Television & Audio
7,L'Oreal Paris Elvive Hyaluron Pure Rehydrating Conditioner for Oily Hair 200ml,13.0,94.0,verified ratings,4.2,Health & Beauty
8,Listerine TOTAL CARE TARTAR PROTECT Mouthwash - 250 Ml,1297.0,79.0,verified ratings,4.3,Health & Beauty
9,Axe Body Spray for Men Dark Temptation 150ML,873.0,124.0,verified ratings,4.4,Health & Beauty
10,"NIVEA Antiperspirant Spray for Women, 48h Protection, Black & White Invisible Original, 150ml",526.0,103.75,verified ratings,4.4,Health & Beauty
11,Women Beach Sandals,28.0,99.0,verified ratings,3.4,Fashion
12,Garnier Garnier Skin Active Fast Bright Face Wash With Vitamin C And Lemon - 100ml,1590.0,75.0,verified ratings,4.3,Health & Beauty
13,Garnier Ultra Doux Repairing Papaya 3-In-1 Hair Food For Damaged Hair - 390Ml + Free Orange Scrunchy,50.0,286.0,verified ratings,4.2,Health & Beauty
14,"Oraimo Freepods Lite OTW-330 ENC Noise Cancellation, Up to 8HRs, IPX4 Water Resistance - Black",13.0,549.0,verified ratings,4.4,Phones & Tablets
15,L'oreal Elvive Hyaluron Moisture 72H Moisture Filling Shampoo - 600ml,663.0,185.0,verified ratings,4.2,Health & Beauty
16,Axe Body Spray for Men Leather & Cookies 150ML,512.0,124.0,verified ratings,4.3,Health & Beauty
17,Feba Dish Cleaner For Automatic Dishwashing Salt - 1 kg,391.0,64.0,verified ratings,4.4,Appliances
18,Care & More Soft Cream With Glycerin Mixed berries - 75 ML,322.0,34.0,verified ratings,4.3,Health & Beauty
19,"NIVEA MEN Antiperspirant Spray for Men, 48h Protection, Silver Protect Antibacterial, 150ml",677.0,103.75,verified ratings,4.4,Health & Beauty
20,Oxi Liquid Gel Detergent - White - 900 G,62.0,69.0,verified ratings,4.2,Supermarket
21,L'Oreal Paris Elvive Hyaluron Pure Purifying Shampoo for Oily Hair 200ML,12.0,91.0,verified ratings,4.3,Health & Beauty
22,Cottonil Bundle OF (5) - Men Boxer Solid,695.0,299.0,verified ratings,4.2,Fashion
23,ADIDAS DBF11 Adilette Aqua Swim Sandals/Slippers - Ftwr White,177.0,974.35,verified ratings,4.5,Fashion
24,Maybelline Maybelline New York Lash Sensational Sky High Mascara,829.0,585.0,verified ratings,5.0,Health & Beauty
25,Oxi Powder Det lavender - 1 Kg,82.0,61.0,verified ratings,4.5,Health & Beauty
